Entry	Gene names  (primary )	Entry name	Gene ontology IDs	Organism	Gene names
P76280	yobB	YOBB_ECOLI	GO:0016810; GO:0006807	Escherichia coli (strain K12)	yobB b1843 JW1832
P67601	yobD	YOBD_ECOLI	GO:0016021; GO:0005886	Escherichia coli (strain K12)	yobD b1820 JW1809
C1P603	yoaJ	YOAJ_ECOLI	GO:0016021; GO:0005886	Escherichia coli (strain K12)	yoaJ b4675 JW5292.2
P64508	yobF	YOBF_ECOLI	GO:0036460; GO:0034605; GO:0097533	Escherichia coli (strain K12)	yobF b1824 JW1813
P0AA57	yobA	YOBA_ECOLI	GO:0005507; GO:0030288; GO:0046688	Escherichia coli (strain K12)	yobA b1841 JW1830
Q2MB16	yobH	YOBH_ECOLI		Escherichia coli (strain K12)	yobH b4536 JW5298
C1P604	yobI	YOBI_ECOLI		Escherichia coli (strain K12)	yobI b4677 JW1850.1
P64519	yodD	YODD_ECOLI	GO:0071468; GO:0070301; GO:0044011	Escherichia coli (strain K12)	yodD b1953 JW5317
P64517	yodC	YODC_ECOLI		Escherichia coli (strain K12)	yodC b1957 JW1940
P76356	yoeA	YOEA_ECOLI	GO:0016020; GO:0004872; GO:0006810	Escherichia coli (strain K12)	yoeA b4582 JW1980 b1995 b1998
P69348	yoeB	YOEB_ECOLI	GO:0003723; GO:0090502; GO:0004521; GO:0016892; GO:0006402; GO:0098795; GO:1903507; GO:0045947; GO:0006355; GO:0043024; GO:0044010; GO:0003714; GO:0006351	Escherichia coli (strain K12)	yoeB b4539 JW5331
C1P606	yoeI	YOEI_ECOLI		Escherichia coli (strain K12)	yoeI b4678 JW5330.1
Q2EES3	yoeF	YOEF_ECOLI	GO:0005524; GO:0006576	Escherichia coli (strain K12)	yoeF b4538 JW5328
P0AD17	yohC	YOHC_ECOLI	GO:0006974; GO:0016021; GO:0005886	Escherichia coli (strain K12)	yohC b2135 JW5356
P33368	yohF	YOHF_ECOLI	GO:0016491	Escherichia coli (strain K12)	yohF yohE b2137 JW2125
B1X7N0	yohJ	YOHJ_ECODH	GO:0016021; GO:0005886	Escherichia coli (strain K12 / DH10B)	yohJ ECDH10B_2298
P33366	yohD	YOHD_ECOLI	GO:0043093; GO:0016021; GO:0005886	Escherichia coli (strain K12)	yohD b2136 JW2124
C4ZSM1	yohJ	YOHJ_ECOBW	GO:0016021; GO:0005886	Escherichia coli (strain K12 / MC4100 / BW2952)	yohJ BWG_1923
P60632	yohJ	YOHJ_ECOLI	GO:0016021; GO:0005886	Escherichia coli (strain K12)	yohJ b2141 JW2129
B1X7L6	yohO	YOHO_ECODH	GO:0016021; GO:0005886	Escherichia coli (strain K12 / DH10B)	yohO ECDH10B_2283
Q2EES6	yohO	YOHO_ECOLI	GO:0016021; GO:0005886	Escherichia coli (strain K12)	yohO b4542 JW5354
P0AD19	yohK	YOHK_ECOLI	GO:0016021; GO:0005886	Escherichia coli (strain K12)	yohK b2142 JW2130
C4ZSK9	yohO	YOHO_ECOBW	GO:0016021; GO:0005886	Escherichia coli (strain K12 / MC4100 / BW2952)	yohO BWG_1911
A5A619	yojO	YOJO_ECOLI		Escherichia coli (strain K12)	yojO b4604
C1P609	yohP	YOHP_ECOLI	GO:0016021; GO:0005886	Escherichia coli (strain K12)	yohP b4679 JW5358.1
P33941	yojI	YOJI_ECOLI	GO:0005524; GO:0042626; GO:0016021; GO:0042884; GO:0015197; GO:0005886; GO:0046677	Escherichia coli (strain K12)	yojI yojJ b2211 JW2199
V9HVX0	ypaA	YPAA_ECOLI		Escherichia coli (strain K12)	ypaA b4543
P0AA93	ypdA	YPDA_ECOLI	GO:0005524; GO:0071555; GO:0031670; GO:0016021; GO:0005622; GO:0000155; GO:0000160; GO:0005886; GO:0023014	Escherichia coli (strain K12)	ypdA b2380 JW5388
P0AE39	ypdB	YPDB_ECOLI	GO:0003677; GO:0005737; GO:0000160; GO:0006355; GO:0006351	Escherichia coli (strain K12)	ypdB b2381 JW2378
P77585	ypdE	YPDE_ECOLI	GO:0004177; GO:0046872; GO:0008237	Escherichia coli (strain K12)	ypdE b2384 JW2381
Q2EET0	ypdJ	YPDJ_ECOLI		Escherichia coli (strain K12)	ypdJ b4545 JW5386
P77396	ypdC	YPDC_ECOLI	GO:0000987; GO:0005829; GO:0006355; GO:0003700; GO:0006351	Escherichia coli (strain K12)	ypdC b2382 JW2379
C1P610	ypdK	YPDK_ECOLI	GO:0016021; GO:0016020; GO:0005886	Escherichia coli (strain K12)	ypdK b4680 JW2375.1
O32528	ypdI	YPDI_ECOLI	GO:0009242; GO:0005886	Escherichia coli (strain K12)	ypdI b2376 JW2373
P76524	ypdF	YPDF_ECOLI	GO:0004177; GO:0006508	Escherichia coli (strain K12)	ypdF b2385 JW2382
P76539	ypeA	YPEA_ECOLI	GO:0006474; GO:0004596; GO:0031248	Escherichia coli (strain K12)	ypeA b2434 JW2427
P0AD40	ypeB	YPEB_ECOLI		Escherichia coli (strain K12)	ypeB b4546 JW5877
